hour	count
12AM	0
1AM	0
2AM	1
3AM	2
4AM	0
5AM	0
6AM	0
7AM	2
8AM	4
9AM	1
10AM	0
11AM	2
12PM	1
1PM	2
2PM	1
3PM	2
4PM	3
5PM	2
6PM	1
7PM	0
8PM	0
9PM	2
10PM	0
11PM	0
