hour	count
0	7
1	3
2	4
3	0
4	4
5	1
6	0
7	6
8	1
9	4
10	2
11	6
12	3
13	3
14	6
15	3
16	5
17	9
18	7
19	1
20	7
21	1
22	9
23	4
