hour	count
12AM	0
1AM	0
2AM	0
3AM	0
4AM	0
5AM	4
6AM	0
7AM	0
8AM	0
9AM	2
10AM	1
11AM	0
12PM	0
1PM	0
2PM	1
3PM	1
4PM	5
5PM	2
6PM	1
7PM	0
8PM	4
9PM	0
10PM	1
11PM	0
