hour	count
0	3
1	0
2	2
3	0
4	1
5	2
6	1
7	2
8	0
9	1
10	3
11	4
12	6
13	6
14	7
15	2
16	9
17	6
18	3
19	5
20	5
21	2
22	0
23	6
