hour	count
12AM	7
1AM	5
2AM	1
3AM	1
4AM	2
5AM	1
6AM	3
7AM	5
8AM	6
9AM	4
10AM	6
11AM	7
12PM	5
1PM	9
2PM	1
3PM	6
4PM	9
5PM	3
6PM	8
7PM	6
8PM	12
9PM	8
10PM	5
11PM	5
