hour	count
0	3
1	5
2	2
3	3
4	2
5	6
6	1
7	4
8	6
9	3
10	3
11	3
12	0
13	2
14	5
15	5
16	2
17	4
18	4
19	0
20	6
21	2
22	4
23	2
