hour	count
12AM	0
1AM	3
2AM	0
3AM	0
4AM	0
5AM	0
6AM	1
7AM	0
8AM	0
9AM	0
10AM	1
11AM	1
12PM	0
1PM	0
2PM	1
3PM	4
4PM	0
5PM	0
6PM	0
7PM	0
8PM	0
9PM	0
10PM	1
11PM	0
