hour	count
0	3
1	0
2	1
3	1
4	1
5	0
6	2
7	1
8	1
9	1
10	0
11	3
12	3
13	1
14	3
15	0
16	3
17	3
18	2
19	2
20	0
21	0
22	3
23	4
