hour	count
12AM	2
1AM	2
2AM	0
3AM	1
4AM	1
5AM	1
6AM	1
7AM	3
8AM	0
9AM	1
10AM	0
11AM	2
12PM	0
1PM	3
2PM	0
3PM	1
4PM	2
5PM	2
6PM	1
7PM	3
8PM	1
9PM	0
10PM	2
11PM	0
