hour	count
12AM	1
1AM	1
2AM	3
3AM	2
4AM	0
5AM	0
6AM	2
7AM	0
8AM	2
9AM	1
10AM	1
11AM	0
12PM	0
1PM	5
2PM	1
3PM	1
4PM	2
5PM	1
6PM	1
7PM	2
8PM	1
9PM	0
10PM	2
11PM	1
