hour	count
12AM	0
1AM	0
2AM	0
3AM	0
4AM	0
5AM	0
6AM	0
7AM	0
8AM	2
9AM	0
10AM	1
11AM	1
12PM	1
1PM	2
2PM	3
3PM	1
4PM	1
5PM	0
6PM	0
7PM	2
8PM	2
9PM	0
10PM	0
11PM	0
