hour	count
12AM	0
1AM	3
2AM	0
3AM	0
4AM	1
5AM	2
6AM	0
7AM	0
8AM	0
9AM	0
10AM	2
11AM	0
12PM	1
1PM	0
2PM	2
3PM	0
4PM	0
5PM	3
6PM	0
7PM	1
8PM	0
9PM	1
10PM	1
11PM	1
