hour	count
0	3
1	3
2	1
3	0
4	0
5	4
6	3
7	4
8	3
9	1
10	1
11	1
12	2
13	3
14	4
15	4
16	4
17	1
18	2
19	3
20	2
21	5
22	3
23	3
