hour	count
0	2
1	1
2	2
3	1
4	1
5	2
6	1
7	0
8	1
9	0
10	0
11	3
12	0
13	2
14	1
15	1
16	0
17	1
18	0
19	1
20	0
21	2
22	3
23	0
