hour	count
12AM	4
1AM	3
2AM	2
3AM	2
4AM	1
5AM	0
6AM	3
7AM	3
8AM	7
9AM	5
10AM	3
11AM	1
12PM	1
1PM	4
2PM	6
3PM	7
4PM	2
5PM	6
6PM	6
7PM	3
8PM	4
9PM	3
10PM	3
11PM	6
