hour	count
0	3
1	4
2	2
3	2
4	6
5	0
6	4
7	1
8	1
9	6
10	3
11	1
12	5
13	2
14	8
15	8
16	7
17	6
18	7
19	2
20	4
21	2
22	6
23	7
