hour	count
12AM	0
1AM	2
2AM	0
3AM	1
4AM	2
5AM	0
6AM	2
7AM	3
8AM	0
9AM	1
10AM	2
11AM	0
12PM	0
1PM	0
2PM	4
3PM	1
4PM	1
5PM	0
6PM	0
7PM	1
8PM	1
9PM	1
10PM	3
11PM	0
