hour	count
0	0
1	0
2	1
3	0
4	0
5	0
6	1
7	0
8	0
9	1
10	0
11	1
12	0
13	1
14	0
15	1
16	0
17	1
18	1
19	0
20	1
21	0
22	1
23	1
