hour	count
12AM	2
1AM	1
2AM	2
3AM	2
4AM	0
5AM	1
6AM	1
7AM	1
8AM	0
9AM	1
10AM	1
11AM	3
12PM	2
1PM	1
2PM	1
3PM	2
4PM	2
5PM	0
6PM	5
7PM	1
8PM	5
9PM	0
10PM	0
11PM	1
